name,job_role,attendance,department,Post,Equity(in %),Experience(in years),nClients,test_scores(out of 100),skills,salary(in rs)
Chaaya Seth,Customer Service Representative,76,Customer Support,Associate/Specialist,0.65,2.0,3,77,"Continuous Learning and Skill Enhancement} , {Ticketing Systems and CRM Software} , {Product Knowledge} , {Empathy and Customer Focus} , {Quality Assurance and Call Monitoring} , {Technical Documentation and FAQ Creation} , {Positive Attitude and Professionalism} , {Conflict Resolution and Diplomacy} , {Adaptability and Flexibility} , {Communication Tools (e.g., Live Chat, Email)",61000
Shanti Ahluwalia,Market Research Analyst,87,Sales and Marketing,Entry Level/Junior,0.6,0.3,4,73,"Market Research and Analysis} , {Sales Funnel Management} , {Pricing Strategies and Competitive Analysis} , {Customer Relationship Management (CRM)",68000
Purnit Acharya,IT Manager,69,Information Technology (IT),Associate/Specialist,0.26,2.4,4,81,"Time Management and Organization} , {Programming and Software Development} , {System Administration} , {Database Management} , {Network and Infrastructure Management} , {IT Troubleshooting and Support} , {IT Governance and Compliance} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",89000
Deshal Apte,Public Relations Specialist,76,Sales and Marketing,Senior/Lead,0.93,8.6,22,77,"Relationship Building and Networking} , {Sales Forecasting and Planning} , {Social Media Marketing} , {Creativity and Innovation} , {Digital Marketing and Analytics} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Time Management and Prioritization} , {Communication and Interpersonal Skills} , {Customer Relationship Management (CRM)} , {Market Research and Analysis} , {Advertising and Promotions} , {Adaptability and Flexibility",128000
Aakav Sen Mukhopadhyay,Treasury Analyst,77,Finance and Accounting,Mid-Level/Intermediate,0.35,5.1,1,30,"Communication and Presentation Skills} , {ERP (Enterprise Resource Planning) System Proficiency} , {Time Management and Organization} , {Analytical and Critical Thinking} , {Risk Management and Analysis} , {Adaptability and Flexibility} , {Auditing and Internal Controls} , {Cash Flow Management} , {Ethical Conduct and Professionalism} , {Teamwork and Collaboration} , {Financial Statement Preparation",92000
Asmee Batra,Innovation Manager,87,Research and Development (R&D),Senior/Lead,0.55,9.0,31,86,"Creativity and Innovation} , {Quality Control and Assurance} , {Programming and Software Development} , {Strategic Thinking} , {Data Analysis and Interpretation} , {Critical Thinking and Problem Solving} , {Statistical Analysis and Modeling} , {Networking and Relationship Building} , {Time Management and Prioritization} , {Research Methodology and Design} , {Experimental Design and Prototyping} , {Project Management} , {Analytical Skills} , {Intellectual Property Management",137000
Dharitri Ray,Tax Specialist,88,Finance and Accounting,Senior/Lead,0.15,6.6,2,80,"Communication and Presentation Skills} , {Problem Solving and Decision Making} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Continuous Learning and Keeping up with Regulatory Changes} , {Auditing and Internal Controls} , {Cash Flow Management} , {Budgeting and Forecasting} , {Cost Accounting} , {Financial Modeling} , {Ethical Conduct and Professionalism} , {Business Acumen and Strategic Thinking} , {Financial Statement Preparation",116000
Aharnish Purohit,Scrum Master,80,Project Management,Senior/Lead,0.86,6.5,25,34,"Project Monitoring and Control} , {Resource Allocation and Management} , {Project Planning and Scheduling} , {Risk Management} , {Budgeting and Financial Management} , {Presentation and Public Speaking} , {Strategic Thinking and Planning} , {Reporting and Documentation} , {Leadership and Team Management} , {Problem Solving and Decision Making} , {Conflict Resolution} , {Change Management} , {Stakeholder Engagement",111000
Jagachandra Choudhary Yadav,Systems Analyst,83,Information Technology (IT),Senior/Lead,0.83,5.1,25,65,"IT Service Management} , {IT Risk Assessment and Mitigation} , {Customer Service and Relationship Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {IT Troubleshooting and Support} , {IT Governance and Compliance} , {Leadership and Team Management} , {IT Project Management} , {Adaptability and Flexibility} , {Analytical and Data Interpretation Skills",110000
Juhi Khanna,Network Administrator,93,Information Technology (IT),Associate/Specialist,0.25,2.7,6,38,"IT Service Management} , {Programming and Software Development} , {Customer Service and Relationship Management} , {Database Management} , {Problem Solving and Critical Thinking} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection",80000
Deval Patel,Recruitment Specialist,75,Human Resources (HR),Associate/Specialist,0.97,1.9,4,63,"Business Acumen and Strategic Thinking} , {Conflict Resolution and Mediation} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Employee Engagement and Retention} , {Communication and Interpersonal Skills} , {HR Analytics and Reporting} , {Leadership and Team Management} , {Empathy and Emotional Intelligence} , {Employee Onboarding and Offboarding} , {HRIS (Human Resources Information System) Management",83000
Nalin Dara,Customer Service Representative,75,Customer Support,Senior/Lead,0.64,7.9,4,84,"Continuous Learning and Skill Enhancement} , {Ticketing Systems and CRM Software} , {Time Management and Organization} , {Patience and Resilience} , {Quality Assurance and Call Monitoring} , {Technical Documentation and FAQ Creation} , {Teamwork and Collaboration} , {Problem Solving and Critical Thinking} , {Knowledge Base and Self-Service Platforms} , {Multi-Channel Support (Phone, Chat, Email)} , {Troubleshooting and Problem Solving} , {Communication Tools (e.g., Live Chat, Email)",98000
Rashana Khan Siddiqui,Financial Analyst,74,Finance and Accounting,Associate/Specialist,0.58,1.9,1,91,"Problem Solving and Decision Making} , {Time Management and Organization} , {Risk Management and Analysis} , {Adaptability and Flexibility} , {Auditing and Internal Controls} , {Attention to Detail} , {Budgeting and Forecasting} , {Business Acumen and Strategic Thinking} , {Financial Statement Preparation",86000
Pooja Malhotra Sethi,Help Desk Analyst,94,Customer Support,Entry Level/Junior,0.8,0.8,0,64,"Technical Documentation and FAQ Creation} , {Positive Attitude and Professionalism} , {Customer Data Management} , {Multi-Channel Support (Phone, Chat, Email)} , {Troubleshooting and Problem Solving",46000
Jagvi Bakshi,Treasury Analyst,97,Finance and Accounting,Entry Level/Junior,0.13,0.5,0,51,"ERP (Enterprise Resource Planning) System Proficiency} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Budgeting and Forecasting} , {Continuous Learning and Keeping up with Regulatory Changes",67000
Deshal Deshpande,Operations Manager,76,Operations,Entry Level/Junior,0.98,0.3,4,84,"Data Analysis and Reporting} , {Logistics and Transportation} , {Risk Management} , {Production Planning and Control} , {Lean Six Sigma",215000
Sumana Kumar Singh,Help Desk Analyst,74,Customer Support,Mid-Level/Intermediate,0.35,6.0,3,93,"Continuous Learning and Skill Enhancement} , {Ticketing Systems and CRM Software} , {Product Knowledge} , {Time Management and Organization} , {Patience and Resilience} , {Quality Assurance and Call Monitoring} , {Technical Documentation and FAQ Creation} , {Conflict Resolution and Diplomacy} , {Problem Solving and Critical Thinking} , {Multi-Channel Support (Phone, Chat, Email)} , {Adaptability and Flexibility} , {Communication Tools (e.g., Live Chat, Email)",82000
Chiranjiv Mahajan,Public Relations Specialist,78,Sales and Marketing,Associate/Specialist,0.65,3.3,3,53,"Sales Forecasting and Planning} , {Social Media Marketing} , {Creativity and Innovation} , {Negotiation and Persuasion} , {Digital Marketing and Analytics} , {Sales Funnel Management} , {Time Management and Prioritization} , {Leadership and Mentoring} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making",86000
Jaya Thakur,Database Administrator,78,Information Technology (IT),Senior/Lead,0.24,8.3,24,95,"IT Service Management} , {Time Management and Organization} , {System Administration} , {Customer Service and Relationship Management} , {Database Management} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {IT Governance and Compliance} , {IT Project Management} , {Adaptability and Flexibility} , {Analytical and Data Interpretation Skills",128000
Satish Goel,Call Center Supervisor,90,Customer Support,Entry Level/Junior,0.16,0.1,0,90,"Continuous Learning and Skill Enhancement} , {Ticketing Systems and CRM Software} , {Product Knowledge} , {Technical Documentation and FAQ Creation} , {Customer Data Management} , {Knowledge Base and Self-Service Platforms} , {Remote Desktop and Screen Sharing} , {Communication and Active Listening",50000
Hiral Patel,Legal Assistant,87,Legal and Compliance,Associate/Specialist,0.12,1.3,4,63,"Mergers and Acquisitions} , {Legal Research and Analysis} , {Time Management and Organization} , {Analytical and Critical Thinking} , {Employment Law and Labor Regulations} , {Regulatory Compliance} , {Attention to Detail} , {Contract Drafting and Review} , {Intellectual Property Rights} , {Adaptability and Flexibility} , {Data Privacy and Protection",59000
Apsara Goel,Innovation Manager,76,Research and Development (R&D),Mid-Level/Intermediate,0.12,3.6,19,78,"Communication and Presentation Skills} , {Quality Control and Assurance} , {Strategic Thinking} , {Adaptability and Flexibility} , {Technical Writing and Documentation} , {Data Analysis and Interpretation} , {Creativity and Innovation} , {Research Methodology and Design} , {Statistical Analysis and Modeling} , {Analytical Skills} , {Intellectual Property Management",100000
Anand Mangal,Sales Representative,87,Sales and Marketing,Associate/Specialist,0.32,1.0,6,87,"Social Media Marketing} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Adaptability and Flexibility} , {Customer Relationship Management (CRM)} , {Market Research and Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making",82000
Shalini Balakrishnan,Help Desk Analyst,93,Customer Support,Mid-Level/Intermediate,0.85,4.4,3,48,"Ticketing Systems and CRM Software} , {Empathy and Customer Focus} , {Technical Documentation and FAQ Creation} , {Positive Attitude and Professionalism} , {Conflict Resolution and Diplomacy} , {Customer Data Management} , {Knowledge Base and Self-Service Platforms} , {Problem Solving and Critical Thinking} , {Multi-Channel Support (Phone, Chat, Email)} , {Remote Desktop and Screen Sharing} , {Communication and Active Listening} , {Communication Tools (e.g., Live Chat, Email)",71000
Caturnana Mehta,Compensation and Benefits Specialist,55,Human Resources (HR),Associate/Specialist,0.33,3.5,3,58,"Conflict Resolution and Mediation} , {Time Management and Organization} , {Employee Relations and Conflict Resolution} , {Ethical and Professional Conduct} , {HR Compliance and Legal Knowledge} , {Employee Onboarding and Offboarding} , {Compensation and Benefits Administration",80000
Banita Iyer,Regulatory Affairs Specialist,77,Legal and Compliance,Associate/Specialist,0.21,2.2,1,52,"Legal Research and Analysis} , {Time Management and Organization} , {Employment Law and Labor Regulations} , {Regulatory Compliance} , {Attention to Detail} , {Data Privacy and Protection} , {Contract Drafting and Review} , {Risk Assessment and Management} , {Ethical Conduct and Professionalism} , {Adaptability and Flexibility} , {Corporate Governance",59000
Devaj Dayal,Marketing Manager,45,Sales and Marketing,Senior/Lead,0.09,8.7,18,60,"Sales Forecasting and Planning} , {Social Media Marketing} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Leadership and Mentoring} , {Creativity and Innovation} , {Pricing Strategies and Competitive Analysis} , {Adaptability and Flexibility",198000
